"CustomerId","FirstName","LastName","Company","BillingCity"
2,Leonie,Köhler,No Company,Stuttgart
4,Bjørn,Hansen,No Company,Oslo
8,Daan,Peeters,No Company,Brussels
14,Mark,Philips,Telus,Edmonton
23,John,Gordon,No Company,Boston
37,Fynn,Zimmermann,No Company,Frankfurt
38,Niklas,Schröder,No Company,Berlin
40,Dominique,Lefebvre,No Company,Paris
42,Wyatt,Girard,No Company,Bordeaux
46,Hugh,O'Reilly,No Company,Dublin
52,Emma,Jones,No Company,London
2,Leonie,Köhler,No Company,Stuttgart
16,Frank,Harris,Google Inc.,Mountain View
17,Jack,Smith,Microsoft Corporation,Redmond
19,Tim,Goyer,Apple Inc.,Cupertino
21,Kathy,Chase,No Company,Reno
25,Victor,Stevens,No Company,Madison
31,Martha,Silk,No Company,Halifax
40,Dominique,Lefebvre,No Company,Paris
54,Steve,Murray,No Company,Edinburgh 
55,Mark,Taylor,No Company,Sidney
57,Luis,Rojas,No Company,Santiago
59,Puja,Srivastava,No Company,Bangalore
4,Bjørn,Hansen,No Company,Oslo
10,Eduardo,Martins,Woodstock Discos,São Paulo
19,Tim,Goyer,Apple Inc.,Cupertino
33,Ellie,Sullivan,No Company,Yellowknife
34,João,Fernandes,No Company,Lisbon
36,Hannah,Schneider,No Company,Berlin
38,Niklas,Schröder,No Company,Berlin
42,Wyatt,Girard,No Company,Bordeaux
48,Johannes,Van der Berg,No Company,Amsterdam
57,Luis,Rojas,No Company,Santiago
12,Roberto,Almeida,Riotur,Rio de Janeiro
13,Fernanda,Ramos,No Company,Brasília
15,Jennifer,Peterson,Rogers Canada,Vancouver
17,Jack,Smith,Microsoft Corporation,Redmond
21,Kathy,Chase,No Company,Reno
27,Patrick,Gray,No Company,Tucson
36,Hannah,Schneider,No Company,Berlin
50,Enrique,Muñoz,No Company,Madrid
51,Joakim,Johansson,No Company,Stockholm
53,Phil,Hughes,No Company,London
55,Mark,Taylor,No Company,Sidney
59,Puja,Srivastava,No Company,Bangalore
6,Helena,Holý,No Company,Prague
15,Jennifer,Peterson,Rogers Canada,Vancouver
29,Robert,Brown,No Company,Toronto
30,Edward,Francis,No Company,Ottawa
32,Aaron,Mitchell,No Company,Winnipeg
34,João,Fernandes,No Company,Lisbon
38,Niklas,Schröder,No Company,Berlin
44,Terhi,Hämäläinen,No Company,Helsinki
53,Phil,Hughes,No Company,London
8,Daan,Peeters,No Company,Brussels
9,Kara,Nielsen,No Company,Copenhagen
11,Alexandre,Rocha,Banco do Brasil S.A.,São Paulo
13,Fernanda,Ramos,No Company,Brasília
17,Jack,Smith,Microsoft Corporation,Redmond
23,John,Gordon,No Company,Boston
32,Aaron,Mitchell,No Company,Winnipeg
46,Hugh,O'Reilly,No Company,Dublin
47,Lucas,Mancini,No Company,Rome
49,Stanisław,Wójcik,No Company,Warsaw
51,Joakim,Johansson,No Company,Stockholm
55,Mark,Taylor,No Company,Sidney
2,Leonie,Köhler,No Company,Stuttgart
11,Alexandre,Rocha,Banco do Brasil S.A.,São Paulo
25,Victor,Stevens,No Company,Madison
26,Richard,Cunningham,No Company,Fort Worth
28,Julia,Barnett,No Company,Salt Lake City
30,Edward,Francis,No Company,Ottawa
34,João,Fernandes,No Company,Lisbon
40,Dominique,Lefebvre,No Company,Paris
49,Stanisław,Wójcik,No Company,Warsaw
4,Bjørn,Hansen,No Company,Oslo
5,František,Wichterlová,JetBrains s.r.o.,Prague
7,Astrid,Gruber,No Company,Vienne
9,Kara,Nielsen,No Company,Copenhagen
13,Fernanda,Ramos,No Company,Brasília
19,Tim,Goyer,Apple Inc.,Cupertino
28,Julia,Barnett,No Company,Salt Lake City
42,Wyatt,Girard,No Company,Bordeaux
43,Isabelle,Mercier,No Company,Dijon
45,Ladislav,Kovács,No Company,Budapest
47,Lucas,Mancini,No Company,Rome
51,Joakim,Johansson,No Company,Stockholm
57,Luis,Rojas,No Company,Santiago
7,Astrid,Gruber,No Company,Vienne
21,Kathy,Chase,No Company,Reno
22,Heather,Leacock,No Company,Orlando
24,Frank,Ralston,No Company,Chicago
26,Richard,Cunningham,No Company,Fort Worth
30,Edward,Francis,No Company,Ottawa
36,Hannah,Schneider,No Company,Berlin
45,Ladislav,Kovács,No Company,Budapest
59,Puja,Srivastava,No Company,Bangalore
1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,São José dos Campos
3,François,Tremblay,No Company,Montréal
5,František,Wichterlová,JetBrains s.r.o.,Prague
9,Kara,Nielsen,No Company,Copenhagen
15,Jennifer,Peterson,Rogers Canada,Vancouver
24,Frank,Ralston,No Company,Chicago
38,Niklas,Schröder,No Company,Berlin
39,Camille,Bernard,No Company,Paris
41,Marc,Dubois,No Company,Lyon
43,Isabelle,Mercier,No Company,Dijon
47,Lucas,Mancini,No Company,Rome
53,Phil,Hughes,No Company,London
3,François,Tremblay,No Company,Montréal
17,Jack,Smith,Microsoft Corporation,Redmond
18,Michelle,Brooks,No Company,New York
20,Dan,Miller,No Company,Mountain View
22,Heather,Leacock,No Company,Orlando
26,Richard,Cunningham,No Company,Fort Worth
32,Aaron,Mitchell,No Company,Winnipeg
41,Marc,Dubois,No Company,Lyon
55,Mark,Taylor,No Company,Sidney
56,Diego,Gutiérrez,No Company,Buenos Aires
58,Manoj,Pareek,No Company,Delhi
1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,São José dos Campos
5,František,Wichterlová,JetBrains s.r.o.,Prague
11,Alexandre,Rocha,Banco do Brasil S.A.,São Paulo
20,Dan,Miller,No Company,Mountain View
34,João,Fernandes,No Company,Lisbon
35,Madalena,Sampaio,No Company,Porto
37,Fynn,Zimmermann,No Company,Frankfurt
39,Camille,Bernard,No Company,Paris
43,Isabelle,Mercier,No Company,Dijon
49,Stanisław,Wójcik,No Company,Warsaw
58,Manoj,Pareek,No Company,Delhi
13,Fernanda,Ramos,No Company,Brasília
14,Mark,Philips,Telus,Edmonton
16,Frank,Harris,Google Inc.,Mountain View
18,Michelle,Brooks,No Company,New York
22,Heather,Leacock,No Company,Orlando
28,Julia,Barnett,No Company,Salt Lake City
37,Fynn,Zimmermann,No Company,Frankfurt
51,Joakim,Johansson,No Company,Stockholm
52,Emma,Jones,No Company,London
54,Steve,Murray,No Company,Edinburgh 
56,Diego,Gutiérrez,No Company,Buenos Aires
1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,São José dos Campos
7,Astrid,Gruber,No Company,Vienne
16,Frank,Harris,Google Inc.,Mountain View
30,Edward,Francis,No Company,Ottawa
31,Martha,Silk,No Company,Halifax
33,Ellie,Sullivan,No Company,Yellowknife
35,Madalena,Sampaio,No Company,Porto
39,Camille,Bernard,No Company,Paris
45,Ladislav,Kovács,No Company,Budapest
54,Steve,Murray,No Company,Edinburgh 
9,Kara,Nielsen,No Company,Copenhagen
10,Eduardo,Martins,Woodstock Discos,São Paulo
12,Roberto,Almeida,Riotur,Rio de Janeiro
14,Mark,Philips,Telus,Edmonton
18,Michelle,Brooks,No Company,New York
24,Frank,Ralston,No Company,Chicago
33,Ellie,Sullivan,No Company,Yellowknife
47,Lucas,Mancini,No Company,Rome
48,Johannes,Van der Berg,No Company,Amsterdam
50,Enrique,Muñoz,No Company,Madrid
52,Emma,Jones,No Company,London
56,Diego,Gutiérrez,No Company,Buenos Aires
3,François,Tremblay,No Company,Montréal
12,Roberto,Almeida,Riotur,Rio de Janeiro
26,Richard,Cunningham,No Company,Fort Worth
27,Patrick,Gray,No Company,Tucson
29,Robert,Brown,No Company,Toronto
31,Martha,Silk,No Company,Halifax
35,Madalena,Sampaio,No Company,Porto
41,Marc,Dubois,No Company,Lyon
50,Enrique,Muñoz,No Company,Madrid
5,František,Wichterlová,JetBrains s.r.o.,Prague
6,Helena,Holý,No Company,Prague
8,Daan,Peeters,No Company,Brussels
